Round,Multi-Hop (DC-MHRM + Q-Learning),Single-Hop (Baseline Placeholder)
300,413.3591946449545,-7342.555689056229
301,411.93509565560623,-7379.4529538253555
302,410.53812197415266,-7416.3502185944835
303,409.15253552186374,-7453.247483363609
304,407.78688333568863,-7490.144748132737
305,406.43264115920937,-7527.042012901863
306,405.0982256648724,-7563.93927767099
307,403.77567346779006,-7600.836542440116
308,402.45652477483213,-7637.733807209244
309,401.15111839001395,-7674.63107197837
310,399.86307181364936,-7711.528336747496
311,398.5927853781358,-7748.425601516624
312,397.34553422227276,-7785.32286628575
313,396.1127439420494,-7822.220131054877
314,394.8976930245625,-7859.117395824003
315,393.6936845220223,-7896.01466059313
316,392.4980575461755,-7932.911925362257
317,391.32351560693627,-7969.809190131385
318,390.17723274981324,-8006.706454900511
319,389.03242998209845,-8043.603719669638
320,387.8991810791805,-8080.500984438764
321,386.7690293101925,-8117.398249207892
322,385.64189101924006,-8154.295513977017
323,384.5232171554625,-8191.192778746145
324,383.412185388411,-8228.09004351527
325,382.32511946254556,-8264.987308284399
326,381.2780883263611,-8301.884573053525
327,380.2469935504855,-8338.781837822653
328,379.2155775215341,-8375.67910259178
329,378.1890944189091,-8412.576367360905
330,377.16678161306606,-8449.473632130032
331,376.14650878801,-8486.37089689916
332,375.13719174288434,-8523.268161668286
333,374.13315084778816,-8560.165426437414
334,373.1404231775766,-8597.06269120654
335,372.1614044680766,-8633.959955975666
336,371.18855212895727,-8670.857220744792
337,370.225763665192,-8707.754485513919
338,369.2687354066552,-8744.651750283047
339,368.31446711890885,-8781.549015052173
340,367.3618102417588,-8818.4462798213
341,366.4170642875524,-8855.343544590427
342,365.4789380432815,-8892.240809359553
343,364.54863523730927,-8929.13807412868
344,363.6397885311045,-8966.035338897807
345,362.7435008613227,-9002.932603666934
346,361.859230682535,-9039.829868436062
347,360.9789178098148,-9076.727133205188
348,360.10182009883647,-9113.624397974314
349,359.23365028551984,-9150.52166274344
350,358.36963124070337,-9187.418927512568
351,357.51141326892724,-9224.316192281694
352,356.654818364918,-9261.213457050822
353,355.809029501342,-9298.110721819949
354,354.9670061378666,-9335.007986589075
355,354.13033498579796,-9371.905251358201
356,353.29561265156735,-9408.802516127329
357,352.4501835234448,-9445.699780896455
358,351.6080343575727,-9482.597045665583
359,350.7746872400619,-9519.49431043471
360,349.96496915156445,-9556.391575203836
361,349.15568410534024,-9593.288839972962
362,348.3540349822374,-9630.186104742088
363,347.55970299983517,-9667.083369511216
364,346.7701474077177,-9703.980634280342
365,345.9834461417087,-9740.87789904947
366,345.2053377461143,-9777.775163818596
367,344.4057778146559,-9814.672428587723
368,343.5608931138021,-9851.569693356849
369,342.7169438102545,-9888.466958125977
370,341.88110456882737,-9925.364222895103
371,341.05308255269637,-9962.261487664231
372,340.22928312372244,-9999.158752433357
373,339.4095449410821,-10036.056017202483
374,338.5940768580765,-10072.95328197161
375,337.7790692078719,-10109.850546740738
376,336.9687369765104,-10146.747811509864
377,336.16376778647134,-10183.645076278992
378,335.3386506647075,-10220.542341048118
379,334.5180455465969,-10257.439605817244
380,333.70307742068053,-10294.33687058637
381,332.8944071584328,-10331.234135355498
382,332.0902771127623,-10368.131400124625
383,331.28886955996154,-10405.028664893753
384,330.4943407701511,-10441.925929662879
385,329.70369794181266,-10478.823194432005
386,328.9171921692288,-10515.720459201131
387,328.13795860612754,-10552.617723970257
388,327.36414392886957,-10589.514988739385
389,326.59512132743924,-10626.412253508512
390,325.77428413237635,-10663.30951827764
391,324.9613930934562,-10700.206783046766
392,324.145535657045,-10737.104047815892
393,323.3355072729094,-10774.001312585018
394,322.52672342956305,-10810.898577354146
395,321.72486275127295,-10847.795842123272
396,320.9273418198902,-10884.6931068924
397,320.1375630989486,-10921.590371661527
398,319.35457586367653,-10958.487636430653
399,318.57921304719025,-10995.384901199779
400,317.81048418376395,-11032.282165968907
401,316.9848854403552,-11069.179430738033
402,316.16446386528,-11106.07669550716
403,315.359194763922,-11142.97396027629
404,314.5624572433551,-11179.871225045414
405,313.8276558898343,-11216.76848981454
406,313.0919800328225,-11253.665754583666
407,312.3658128540052,-11290.563019352796
408,311.65184319834054,-11327.460284121922
409,310.8902553596504,-11364.357548891048
410,310.1421912628417,-11401.254813660174
411,309.3922025734527,-11438.152078429299
412,308.6482397267116,-11475.049343198429
413,307.90456080652825,-11511.946607967555
414,307.16604490475675,-11548.843872736681
415,306.43141012793745,-11585.741137505807
416,305.701523469862,-11622.638402274937
417,304.9748390630553,-11659.535667044061
418,304.25200977934117,-11696.432931813188
419,303.5357808008415,-11733.330196582314
420,302.8271659560639,-11770.227461351444
421,302.1182874365056,-11807.12472612057
422,301.41752922863714,-11844.021990889696
423,300.7228772632902,-11880.919255658822
424,300.02516939693845,-11917.81652042795
425,299.3301149780892,-11954.713785197077
426,298.64248988244776,-11991.611049966203
427,297.957527863195,-12028.508314735329
428,297.27566093633357,-12065.405579504459
429,296.59933014173754,-12102.302844273583
430,295.9224532465306,-12139.20010904271
431,294.8015106994344,-12176.097373811835
432,293.6955764517918,-12212.994638580965
433,292.60552397999624,-12249.891903350092
434,291.524115594287,-12286.789168119218
435,290.449075803907,-12323.686432888344
436,289.392912383161,-12360.583697657472
437,288.34072895039736,-12397.480962426598
438,287.30431476250925,-12434.378227195724
439,286.2798843785139,-12471.27549196485
440,285.2684623658972,-12508.172756733977
441,284.2719028131272,-12545.070021503107
442,283.29871196505496,-12581.967286272231
443,282.33031705196294,-12618.864551041357
444,281.3829656426683,-12655.761815810483
445,280.4366933745923,-12692.659080579613
446,279.49297173187665,-12729.55634534874
447,278.5451554581822,-12766.453610117866
448,277.606010007124,-12803.350874886992
449,276.67298041006563,-12840.24813965612
450,275.75413033132617,-12877.145404425246
451,274.83999503415237,-12914.042669194372
452,273.9524341953031,-12950.939933963498
453,273.07756867371984,-12987.837198732628
454,272.2060697221113,-13024.734463501753
455,271.3413712961317,-13061.631728270879
456,270.4873450571414,-13098.528993040005
457,269.6387774523416,-13135.426257809135
458,268.7958011687791,-13172.323522578261
459,267.9579469743101,-13209.220787347387
460,267.1284216487097,-13246.118052116513
461,266.3059388153485,-13283.015316885641
462,265.4980478402898,-13319.912581654768
463,264.69838300232607,-13356.809846423894
464,263.9157664677634,-13393.70711119302
465,263.15872365278295,-13430.604375962146
466,262.41654527035774,-13467.501640731276
467,261.68178420603766,-13504.3989055004
468,260.94864793837183,-13541.296170269527
