Round,Total Energy (J)
695,167.74164075990896
696,167.43078102727648
697,167.12180152649475
698,166.81360948927977
699,166.5077185377005
700,166.20056868588918
701,165.89655242421355
702,165.59649498532636
703,165.29566569561186
704,164.99731909419984
705,164.7007736018875
706,164.40449982534753
707,164.1088173313625
708,163.81364914929392
709,163.51968234186933
710,163.22640585783626
711,162.93425943799795
712,162.6396170634033
713,162.34988458567895
714,162.0586635647303
715,161.7654153957291
716,161.47403131993687
717,161.18578323683536
718,160.89714005409445
719,160.60981757596798
720,160.32080294832886
721,160.03433387040852
722,159.74924652860685
723,159.46408686084177
724,159.1800085003904
725,158.8972259531311
726,158.61603357354886
727,158.33435901771222
728,158.0532138505339
729,157.77210643995105
730,157.49270872379384
731,157.21516317824822
732,156.93572943051774
733,156.65889453978303
734,156.3840558131953
735,156.11081079208248
736,155.84052877184854
737,155.57051475151326
738,155.2982367705047
739,155.02877024940668
740,154.76216099957102
741,154.49617219506192
742,154.23315333472502
743,153.97077913244698
744,153.7094650895104
745,153.4487979485633
746,153.1872909386242
747,152.92650942794455
748,152.6650613101351
749,152.40427700257166
750,152.14364688052532
751,151.878637384482
752,151.61674372920504
753,151.35735489162454
754,151.09743114992722
755,150.83874670334137
756,150.57979548787608
757,150.32182825978853
758,150.06482043685986
759,149.81059614716338
760,149.55636825784663
761,149.30124524621286
762,149.04798794694673
763,148.7825617591195
764,148.51563535562894
765,148.25108093809962
766,147.98700093814995
767,147.72432299092722
768,147.46242841137672
769,147.20072230838912
770,146.93801000462534
771,146.6772570476408
772,146.41648296295912
773,146.15657287570187
774,145.89629867847592
775,145.63420154437108
776,145.3709098070993
777,145.10923471153598
778,144.8484362494428
779,144.58996170631855
780,144.33300073071905
781,144.07853298262648
782,143.81299024730322
783,143.54768128377603
784,143.2817163407996
785,143.02222161441426
786,142.76328466749698
787,142.50493284151833
788,142.24519430136843
789,141.99099011367952
790,141.73688224489587
791,141.48175754624876
792,141.2300732394841
793,140.97988358252445
794,140.72966702660975
795,140.48156662177695
796,140.23265162560074
797,139.98396315863394
798,139.73391985971307
799,139.4852246384667
800,139.2339052359117
801,138.98771563294585
802,138.73999158784628
803,138.49336684440917
804,138.2480207835615
805,138.000420230247
806,137.7568407383444
807,137.5133392144619
808,137.27045908159266
809,137.02777038417742
810,136.78386592642795
811,136.54060941018398
812,136.29848325206814
813,136.05377593609205
814,135.8102782998098
815,135.56877536267353
816,135.32934249659706
817,135.091721215263
818,134.85517893129474
819,134.61807768505807
820,134.3825106322461
821,134.14709485559283
822,133.91106460769365
823,133.67544032182454
824,133.43842799240718
825,133.20492483436735
826,132.97311994286906
827,132.73990601379845
828,132.5071704296232
829,132.27618969408746
830,132.04392803302505
831,131.81156479337852
832,131.57910608001637
833,131.35062294111432
834,131.12208470292975
835,130.8934749576039
836,130.66463879178073
837,130.43775152660214
838,130.2084670422089
839,129.97891760235555
840,129.7539857866473
841,129.53129475442347
842,129.30757978735357
843,129.08441817429613
844,128.86317359553968
845,128.64193060955205
846,128.41978710328334
847,128.19884890624076
848,127.977332645384
849,127.7585232977682
850,127.54026515078444
851,127.32106768940676
852,127.10367347631846
853,126.88517762135636
854,126.66749091849141
855,126.45341263698981
856,126.24014156819156
857,126.02730940029294
858,125.81524767901931
859,125.60285999339655
860,125.39130009155178
861,125.17788348962935
862,124.96445603269399
863,124.75276560131496
864,124.53905887964817
865,124.32505608856076
866,124.11195855399421
867,123.90016531401756
868,123.68390790954419
869,123.4707288936374
870,123.2593611946484
871,123.054129195618
872,122.85002887391548
873,122.646648301099
874,122.44417597605363
875,122.24373998327724
876,122.04491575378583
877,121.84615334087607
878,121.64752931304795
879,121.44765050630632
880,121.2487195487438
881,121.04871602693515
882,120.84976099175495
883,120.6505588126933
884,120.45729835261992
885,120.26361804898283
886,120.06453987043632
887,119.86478807577015
888,119.6657959092998
889,119.46616959849436
890,119.26892582188782
891,119.07082919940233
892,118.87263608073754
893,118.67553362078857
894,118.4780633072239
895,118.2813344778245
896,118.08414128576176
897,117.88720030773301
898,117.68943975020869
899,117.49239409001174
900,117.29547308475708
901,117.09884829676466
902,116.9030898832648
903,116.70540465105825
904,116.50936726509
905,116.31363612066123
906,116.11797238730813
907,115.92379020225484
908,115.72952423427279
909,115.53379396266784
910,115.33896011434175
911,115.1446386923893
912,114.95117460834805
913,114.75841408816956
914,114.56526646179404
915,114.3717446867608
916,114.17982417909994
917,113.98820071604834
918,113.79781862565169
919,113.60707275438828
920,113.41708359271651
921,113.22561172594585
922,113.03449736163697
923,112.84132112736188
924,112.65219343591147
925,112.46474935258846
926,112.27774463003271
927,112.0899264508221
928,111.90356996575463
929,111.71939005103724
930,111.53364551714998
931,111.34998487971043
932,111.16694037936756
933,110.98420279622955
934,110.80150854669196
935,110.61982999966692
936,110.43860819557807
937,110.25767013405701
938,110.0777704713712
939,109.8970410858688
940,109.71750870409619
941,109.53973590589378
942,109.36240975693735
943,109.18589834867377
944,109.01006663398908
945,108.83395470713288
946,108.65814864919642
947,108.48249144920803
948,108.30562733158149
949,108.13061941360478
950,107.95720869638964
951,107.78337886015272
952,107.6093208744989
953,107.4365901811461
954,107.26274310707532
955,107.08968627816976
956,106.91777099805141
957,106.74697199213531
958,106.57582352498784
959,106.40460167273702
960,106.23486040622178
961,106.06719972062143
962,105.90044386643083
963,105.73439214718411
964,105.56870730554824
965,105.40327937969204
966,105.23919757037457
967,105.07460483376835
968,104.90976395810341
969,104.74739105595839
970,104.58560649034439
971,104.42376068071823
972,104.26217337283083
973,104.10069278977646
974,103.93968059127789
975,103.77851586325215
976,103.61774289904749
977,103.45749791618562
978,103.2967087843611
979,103.136200240804
980,102.97452993949841
981,102.81495056944601
982,102.65626117390134
983,102.49980109472932
984,102.34318436427586
985,102.18631770471416
986,102.03016413245211
987,101.87392757010362
988,101.718936730818
989,101.56333428137933
990,101.40789825841435
991,101.25271924184263
992,101.10049213020397
993,100.947887981664
994,100.7972496637706
995,100.64591868575056
996,100.49491879102125
997,100.34456748946296
998,100.19436980720175
999,100.03942158220848
1000,99.88533840377995
