Round,Throughput (bits)
977,1332000
978,1328000
979,1328000
980,1328000
981,1328000
982,1324000
983,1324000
984,1316000
985,1316000
986,1316000
987,1316000
988,1312000
989,1312000
990,1312000
991,1312000
992,1308000
993,1304000
994,1300000
995,1300000
996,1300000
997,1300000
998,1292000
999,1292000
1000,1288000
